,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
0,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Belum/Tidak Bekerja,5
1,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Mengurus Rumah Tangga,1
2,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Pelajar/Mahasiswa,4
3,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Pensiunan,19
4,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Pegawai Negeri Sipil,194
5,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Tentara Nasional Indonesia,3
6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Kepolisian RI,9
7,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Perdagangan,3
8,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Nelayan/Perikanan,863
9,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Konstruksi,2
10,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Karyawan Swasta,202
11,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Karyawan BUMN,3
12,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Karyawan Honorer,199
13,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Buruh Harian Lepas,50
14,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Buruh Tani/Perkebunan,2
15,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Seniman,1
16,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Wartawan,1
17,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Ustadz/Mubaligh,1
18,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Dosen,2
19,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Guru,49
20,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,Bidan,0
