,Kabupaten_Kota,Kecamatan,Kelurahan,Penduduk,Di bawah umur,Hak pilih
0,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,7094,2441,4653
1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,7157,2474,4683
2,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,2651,867,1784
3,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,2550,898,1652
4,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,6083,2132,3951
5,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,3696,1340,2356
6,JAKARTA PUSAT,GAMBIR,GAMBIR,3086,670,2416
7,JAKARTA PUSAT,GAMBIR,CIDENG,19319,4804,14515
8,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,22426,5936,16490
9,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,18907,4974,13933
10,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,12919,3301,9618
11,JAKARTA PUSAT,GAMBIR,DURI PULO,25712,7367,18345
12,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,16027,3581,12446
13,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33061,9269,23792
14,JAKARTA PUSAT,SAWAH BESAR,KARTINI,28125,7259,20866
15,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,20801,5051,15750
16,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35767,9978,25789
17,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,26635,7559,19076
18,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,38431,11811,26620
19,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29155,8956,20199
20,JAKARTA PUSAT,KEMAYORAN,SERDANG,37881,11560,26321
21,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,24754,6833,17921
22,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,42176,12779,29397
23,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,29323,8706,20617
24,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,37930,11968,25962
25,JAKARTA PUSAT,SENEN,SENEN,8638,2464,6174
26,JAKARTA PUSAT,SENEN,KENARI,11924,3059,8865
27,JAKARTA PUSAT,SENEN,PASEBAN,29748,8593,21155
28,JAKARTA PUSAT,SENEN,KRAMAT,36541,10661,25880
29,JAKARTA PUSAT,SENEN,KWITANG,19772,5704,14068
30,JAKARTA PUSAT,SENEN,BUNGUR,22998,6467,16531
