tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_rt,jumlah_rw
2020,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,5,29
2020,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,5,31
2020,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,3,15
2020,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,3,9
2020,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,4,29
2020,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,4,14
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,3,11
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,10,113
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,8,101
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,8,84
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,4,49
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,11,123
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,8,76
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,13,167
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,9,127
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,7,99
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,12,128
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,10,121
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,13,174
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,9,120
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,7,113
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,10,122
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,10,138
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,8,106
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,10,139
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,S E N E N,SENEN,5,37
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,S E N E N,KENARI,8,54
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,S E N E N,PASEBAN,8,115
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,S E N E N,KRAMAT,8,96
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,S E N E N,KWITANG,9,81
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,S E N E N,BUNGUR,10,131
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,8,106
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,13,152
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,9,117
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,10,138
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,8,104
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,5,64
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,5,40
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,10,77
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,2,12
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,9,124
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,9,68
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,11,120
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,15,163
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,11,152
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,10,81
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,11,174
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,8,104
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,7,84
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,14,196
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,18,254
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,6,47
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,11,116
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,18,222
