tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,1266
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,1237
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,429
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,482
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,1079
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,680
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,328
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,2428
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,3062
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,2557
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,1711
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,3790
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,1844
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,4807
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,3577
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,2614
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,5146
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,3839
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,6086
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,4614
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,5987
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,3569
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,6657
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,4566
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,6164
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,1283
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,1589
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,4466
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,5479
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,2943
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,3367
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,4068
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,6809
